epoch,loss,train_accuracy,val_accuracy
1,2.304628009991268,0.1,0.1
2,2.3028036334630473,0.1,0.1
3,2.302803906638299,0.1,0.1
4,2.3027945607519515,0.1,0.1
5,2.302790044213805,0.1,0.1
6,2.3028061810661766,0.1,0.1
7,2.3028295430380976,0.1,0.1
8,2.30284540793475,0.1,0.1
9,2.302859971590359,0.1,0.1
10,2.3027726762435017,0.1,0.1
11,2.3028448585354155,0.1,0.1
12,2.3028663973064374,0.1,0.1
13,2.302801848677418,0.1,0.1
14,2.3028253027240333,0.1,0.1
15,2.302805654837957,0.1,0.1
16,2.3028269247020905,0.1,0.1
17,2.302792193639614,0.1,0.1
18,2.3029031613293816,0.1,0.1
19,2.302822153891444,0.1,0.1
20,2.3028133927708696,0.1,0.1
